
TTD - Therapeutic Targets Database Full Data Download File
Version 6.1.01 (2017.10.04)
Provided by BIDD   BioInformatic and Drug Design Group
                   Department of Pharmacy
                   National Unviersity of Singapore
                   http://bidd.nus.edu.sg/group/bidd.htm
Any question about data provided here, please contact with:
Prof. Chen (csccyz@nus.edu.sg) and Prof. Zhu (zhufeng@cqu.edu.cn, http://idrb.cqu.edu.cn/Peoples-PI.php)

--------------------------------------------------------------------------------------------------------

TTDDRUGID	LNM	Indication	ICD9	ICD10
D0K4UW	Imitrodast	Asthma		J45
D0K4VN	Molecule 21	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D0K4VW	Cenersen	Acute myeloid leukemia	205	C92.0
D0K4WT	S-1033	Glaucoma	365	H40-H42
D0K4WW	11A1	Alzheimer disease	331	G30
D0K5BP	HSP-990	Cancer	140-229	C00-C96
D0K5BY	MIM-3Ae	Ocular disease		H00-H59
D0K5CB	Salbutamol	Acute asthma	493	J45
D0K5CB-D0S0AS	atrovent hfa + albuterol hfa	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
D0K5CJ	DAVLB-HYDRAZIDE	Cancer	140-229	C00-C96
D0K5CP	Pancreatic enzyme	Nervous system disease		G00-G99
D0K5CX	Celacade	Chronic heart failure	428	I50
D0K5EE	S-33084	Psychotic disorders	290-299	F20-F29
D0K5ER	Rosiglitazone XR	Alzheimer disease	331	G30
D0K5ER-D0K9MY	Rosiglitazone + Saxagliptin	Type 2 diabetes	250	E11
D0K5ER-D0V2NJ	Rosiglitazone + Somatropin	HIV-associated lipodystrophy syndrome		B20-B24
D0K5ER-D0X7HM	Carboplatin + Rosiglitazone	Lung cancer	162	C33-C34
D0K5HD	LY-315902	Type 2 diabetes	250	E11
D0K5HI	Talnetant	Irritable bowel syndrome	564.1, 787.91	A09, K58, K59.1
D0K5HI	Talnetant	Schizophrenia; Schizoaffective disorders	295, 295.70	F20, F25
D0K5IQ	DAA-1097	Anxiety disorder	300, 311	F32, F40-F42
D0K5JE	HD-0701	Gastrointestinal disease		K00-K93
D0K5KS	Adalimumab	Rheumatoid arthritis	710-719, 714	M05-M06
D0K5LQ	Pemirolast	Allergic conjunctivitis	204.0, 372.0, 372.14, 995.3	C91.0, H10, H10.45, T78.4
D0K5LT	Adult stem cell therapy	Stroke	434.91, 437.6, 453, 671.5, 671.9	I61-I63, I80-I82
D0K5NN	GFP-bacterial methioninase/selenomethionine GDEPT	Cancer	140-229	C00-C96
D0K5OT	Penicillin G Sodium	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D0K5QY	AP-101	Ischemia	459.89	I99.8
D0K5RX	KYS-05050	Cancer	140-229	C00-C96
D0K5SN	Dosmalfate	Stomach ulcer		K25-K27
D0K5TE	BMS-955176	HIV-1 infection	001-139, 042	B20-B24
D0K5TW	NS5B HCV polymerase inhibitors	HCV infection	070.4, 070.5, 070.70	B17.1, B18.2
D0K5UK	HuMax-Wnt	Cancer	140-229	C00-C96
D0K5WM	CS-3030	Thrombosis	437.6, 453, 671.5, 671.9	I80-I82
D0K5WS	Cholecalciferol	Vitamin D deficiency	268	E55
D0K5WS-D0R6CD	Cholecalciferol + Insulin glargine	Non-insulin-dependent diabetes		E08-E13
D0K6CG	DRA-161	Diabetes	253.5, 588.1	E23.2, N25.1
D0K6CW	CEN-109	Cancer	140-229	C00-C96
D0K6DG	ONO-8130	Pollakiuria		R35
D0K6ES	CRT-0004592	Cancer	140-229	C00-C96
D0K6GZ	Sparfloxacin	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D0K6HE	PRO-001	Retinitis pigmentosa		H35.5
D0K6HG	V116517	Osteoarthritis	715	M15-M19, M47
D0K6JQ	INO-3401	Influenza A virus H5N1	487, 488	J10, J11
D0K6KU	AFX-9901	Cancer	140-229	C00-C96
D0K6LA	OPC-22575	Ulcerative colitis	556	K51
D0K6LX	MK-5823	Type 2 diabetes	250	E11
D0K6MW	Teicoplanin	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D0K6NS	T-226293	Obesity	278	E66
D0K6PP	AG-NPP709	Bronchitis		J20-J21, J42
D0K6SM	Ilepatril	Hypertension; Renal failure; Heart failure; Diabetic nephropathy	250, 401, 428, 580-599, 584, 585	E08-E13, I10-I16, I50, N00-N29, N17, N18, N19
D0K6UG	RhH1.3	Acute myeloid leukemia	205	C92.0
D0K6UI	Galardin	Corneal ulcers	370	H16.0
D0K6UJ	Yeast-based malaria treatment	Malaria		B54
D0K6UO	NK-101	Brain injury		S09.90
D0K6UQ	HLA-A*2402-restricted KIF20A and VEGFR-1 epitope peptide vaccine	Pancreatic cancer	140-199, 140-229, 157, 210-229	C25
D0K6VD	Juniper tar	Eczema		L20-L30
D0K6YM	TG4040 (MVA-HCV)	Hepatitis virus infection	573.3	K75.9
D0K6ZH	PSI-661	HCV infection	070.4, 070.5, 070.70	B17.1, B18.2
D0K6ZI	H2N2 live attenuated influenza vaccine	Influenza virus		J11.1
D0K7BF	NX-201	Autism	299	F84.0
D0K7CG-D0N5OV-D0U5HU	cetuximab + cisplatin + 5-fu	Head and neck cancer	140-149, 140-229	C07-C14, C32-C33
D0K7CG-D0N5OV-D0Y3ME	cetuximab + oxaliplatin + 5fu	Metastatic colorectal cancer	153, 154	C18-C21
D0K7CG-D0O5WP-D0Y3ME	docetaxel + oxaliplatin + 5-fu	Stomach cancer		C16
D0K7CG-D0U5HU	cisplatin + 5-fluorouracil	Solid tumours	140-199, 210-229	C00-D48
D0K7CG-D0U5HU-D0Y3ME	oxaliplatin + cisplatin + 5-fluorouracil	Esophageal cancer	150	C15
D0K7CG-D0V7RH	5-fu + calcium levofolinate	Metastatic pancreatic cancer	185	C61
D0K7CG-D0Y3ME	oxaliplatin + 5fu	Metastatic colorectal cancer	153, 154	C18-C21
D0K7DV	Kevetrin	Cancer	140-229	C00-C96
D0K7FT	AG-221	Acute myeloid leukemia	205	C92.0
D0K7FY	EGF816	Non-small cell lung cancer		C33-C34
D0K7GO	Cobicistat/darunavir/emtricitabine/GS-7340	HIV-1 infection	001-139, 042	B20-B24
D0K7HU	Ciclesonide	Asthma; Obstructive airway diseases	490-492, 494-496	J45, J40-J44, J47
D0K7JC	ZP-001	Contracture		M24.5
D0K7KV	ORP-100	Respiratory disease		J00-J99
D0K7LA	Low molecular weight dextran sulphate	Bone marrow transplantation	279.5, 996	D89.8, T86
D0K7LU	Santonin	Parasitic diseases		B89
D0K7MY	ESI-014	Diabetes	253.5, 588.1	E23.2, N25.1
D0K7NI	ABT-RTA-408	Non-small cell lung cancer		C33-C34
D0K7NJ	Recombinant coagulation factors	Hemophilia	286	D66-D68
D0K7NQ	Colistin	Infections by gram-negative bacilli particularly Pseudomonas aeruginosa		B96.5
D0K7OO	SA-14-14-2	Japanese encephalitis virus infection	323	A83-A86, B94.1, G05
D0K7OW	GSK-1360707	Major depressive disorder	296.2, 296.3, 710.0	F32, F33, M32
D0K7PD	Cat hair allergen extract	Allergy	995.3	T78.4
D0K7PQ	ST-570	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
D0K7SX	Avelumab	Cancer	140-229	C00-C96
D0K7SX	Avelumab	Merkel cell carcinoma		C4A
D0K7TX	HOE-065	Cognitive disorders	290-294, 294.0, 780.09, 780.9, 780.93	F01-F07, F04, F05, R41.3
D0K7UL	S-2678	Immune disorder		D80-D89
D0K7VM	ARI-1778	Atherosclerosis	414.0, 440	I70
D0K7WK	Ondansetron	Alcohol use disorders	303	F10.2
D0K7WK	Ondansetron	Chemotherapy-induced nausea	787, 787.0	R11
D0K7XR	KSB-304	Ulcerative colitis	556	K51
D0K7ZH	PF-06649751	Parkinson's disease	332	G20
D0K8AA	Zinc salts	Arthritis	710-719	M00-M25
D0K8AL	OG-232	Cancer	140-229	C00-C96
D0K8BJ	MNK-010	Solid tumours	140-199, 210-229	C00-D48
D0K8BO	TX-RAD	Rheumatoid arthritis	710-719, 714	M05-M06
D0K8CI	Otilonium bromide	Gastric motility disorder		K22.4
D0K8CP	HO/02/10	Dermatological disease		L00-L99
D0K8DI	SQ-109	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D0K8FI	Pegmusirudin	Angina pectoris	413	I20
D0K8HA	LL-6531	Diabetes	253.5, 588.1	E23.2, N25.1
D0K8HF	PLD-147	Solid tumours	140-199, 210-229	C00-D48
D0K8IK	Sobetirome	Dyslipidaemias	272	E78
D0K8IX	Thiazolidinedione	Alzheimer disease	331	G30
D0K8JE	TT-123	Blood clotting disorder	286	D65-D69
D0K8KA	DOX-PSASP-BBN-RGD prodrugs	Prostate cancer	185	C61
D0K8KE	Laxatives bulk forming	Constipation	564	K59.0
D0K8KJ	DuP-129	Hypercholesterolemia		E78
D0K8KX	Quercetin	Obesity	278	E66
D0K8LB	PI-88/Taxotere	Cancer	140-229	C00-C96
D0K8MP	Permethrin	Infections with sarcoptes scabiei	133	B86
D0K8MQ	FP-1096	Endometriosis	617	N80
D0K8NR	AMG 386	Breast cancer	174, 175	C50
D0K8NW	Ritanserin	Anxiety disorder	300, 311	F32, F40-F42
D0K8PH	SUVN-504	Emesis	787	R11
D0K8SH	GX-137	HCV infection	070.4, 070.5, 070.70	B17.1, B18.2
D0K8TI	Ranirestat	Diabetic neuropathy	250, 250.6, 356.0, 356.8	E11.40
D0K8TO	AP1903	Transplant rejection	279.5, 996	D89.8, T86
D0K8UN	SCIB-2	Solid tumours	140-199, 210-229	C00-D48
D0K8WJ	Sf-1019	Diabetes	253.5, 588.1	E23.2, N25.1
D0K8YG	ISA-HPV-01	Cervical cancer	180	C53
D0K8YK	DVD-Ig	Cancer	140-229	C00-C96
D0K9AF	Deleobuvir	HCV infection	070.4, 070.5, 070.70	B17.1, B18.2
D0K9BV	TVB-2640	Advanced solid tumor	140-199	C00-C75, C7A, C7B
D0K9CZ	VPM-1-002	Mycobacterium tuberculosis infection		A15-A19
D0K9DI	GSK-356278	Huntington's disease	294.1, 333.4	F02.2, G10
D0K9ES	Suprofenac	Ocular inflammation	370.33	H16.229
D0K9HF	BLX-301	Non-hodgkin's lymphoma		C85
D0K9IF	PF-06305591	Chronic pain	338.2,780	R52.1-R52.2, G89
D0K9JO	AskBio009	Hemophilia B	286.1	D67
D0K9KN	JNJ-26113100	Atopic dermatitis	691.8, 692.9	L00-L99
D0K9KS	Draculin	Thrombosis	437.6, 453, 671.5, 671.9	I80-I82
D0K9LD	Dipyrone	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D0K9MB	CX-1030	Immune disorder		D80-D89
D0K9MC	CetuGEX	Cancer	140-229	C00-C96
D0K9MN	ZP-EPO	Anemia	280-285	D50-D64
D0K9MY	Saxagliptin	Type 2 diabetes	250	E11
D0K9MY-D0R6CD	Insulin + Saxagliptin	Type 2 diabetes	250	E11
D0K9NJ	F18-ML-10	Brain cancer	191, 225.0	C71, D33
D0K9OL	SCH 50911	Absence seizures		G40
D0K9OU	MBX400	Cytomegalovirus infection		B25
D0K9PG	NXD-30001	Cancer	140-229	C00-C96
D0K9PS	CHF-5480	Asthma; Chronic obstructive pulmonary disease	490-492, 493, 494-496	J40-J44, J47, J45
D0K9RR	LF-943	Ischemia	459.89	I99.8
D0K9TC	Sameridine	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D0K9UK	E-6700	Asthma		J45
D0K9UT	Epi-13	Insulin dependent diabetes		E10
D0K9VK	Vaccine, Shigella flexneri	Shigella infections	001-139	A00-B99
D0K9WP	131I-TM-601	Glioma	191	C71
D0K9XI	DHF-18	Cancer	140-229	C00-C96
D0K9ZU	CD45RB	Glioma	191	C71
D0KA4R	NNZ-2591	Neurodegenerative disease	330-337	G30-G32
D0KA9L	AME-133v	Non-hodgkin's lymphoma		C85
D0KB6S	MVA-mBN85B	Measles virus infection		B06.9
D0KC5X	S-18616	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D0KC7H	NCX-1236	Neuropathic pain	356.0, 356.8	G64, G90.0
D0KC7K	EC-154	Cancer	140-229	C00-C96
D0KC9U	Stage IV melanoma vaccine	Melanoma	172	C43
D0KC9V	AD10-1025	Hypercholesterolemia		E78
D0KD1A	HF-0699	Cerebrovascular ischaemia	434.91	I61-I63
D0KD1U	Practolol	Cardiac arrhythmias	427	I47-I49
D0KD4U	FK-355	Asthma		J45
D0KD4X	Rapacuronium bromide	Muscle relaxant		N39.3, N39.4, R32
D0KD5P	Nefiracetam	Alzheimer disease	331	G30
D0KD7E	XEL-003FP	Onychomycosis		B35.1
D0KE0C	STP-805	Spinal cord injury		S14, S24, S34
D0KE1F	DFP-10917	Acute lymphoblastic leukemia; Acute myeloid leukemia	204.0, 205.0, 238.7	C91.0, C92.0, D46
D0KE1L-D0X3FX	naloxone + saline	Healthy volunteers		
D0KE1V	SDZ-249482	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D0KE4C	HG-1071	Cancer	140-229	C00-C96
D0KE4Z	ARL-67085	Thrombosis	437.6, 453, 671.5, 671.9	I80-I82
D0KE7K	URG-302	Overactive bladder disorder	188, 596.51	C67, N32.81
D0KE9G	hESC-derived oligodendrocyte progenitors (AST-OPC1)	Spinal cord injury		S14, S24, S34
D0KF3O	CardioPET	Coronary artery disease	410-414, 429.2	I20-I25
D0KF6X	MLN3897	Rheumatoid arthritis	710-719, 714	M05-M06
D0KF9Q	Rigosertib	Solid tumours	140-199, 210-229	C00-D48
D0KG3R	Rivaroxaban	Prophylaxis of deep vein thrombosis	437.6, 453, 453.40, 671.5, 671.9	I80-I82, I80.2
D0KG4B	Cefbuperazone sodium	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D0KG5D	Mapatumumab	Advanced hepatocellular carcinoma; Non-small cell lung cancer	155	C22.0, C33-C34
D0KI3U	NXB-5886	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D0KI6J	SiRNA therapeutics, inflammation	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
D0KI9N	Antimicrobial LL-37 cathelicidin	Infections	001-139	A00-B99
D0KJ0U	AZD-7928	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
D0KJ2F	Solid tumor immunotherapy	Solid tumours	140-199, 210-229	C00-D48
D0KJ2J	BAY 1082439	Cancer	140-229	C00-C96
D0KJ4U	ACEA-1011	Cerebral infarction		I63
D0KJ9P	LDK378	Non-small cell lung cancer		C33-C34
D0KK1I	MVA E2 vaccine	Cancer	140-229	C00-C96
D0KK2E	Eribulin	Breast cancer	174, 175	C50
D0KK4N	ISA-P53-01	Colorectal cancer	153, 154	C18-C21
D0KK4U	CB-1267	Prostate cancer	185	C61
D0KK9E	Exherin	Solid tumours	140-199, 210-229	C00-D48
D0KK9V	GI-4000 in combination with gemcitabine	Ras mutation positive pancreas cancer	157.0-157.9	C25
D0KL3K	YM-440	Type 1 diabetes	250	E10
D0KL3U	AR9281	Hypertension	401	I10-I16
D0KL4J	Rabeprazole	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D0KL5U	SYM-008	Infections	001-139	A00-B99
D0KL7C	Aviptadil	Acute lung injury	518	J80
D0KL7G	MCL-1-specific antisense oligonucleotide + midostaurin(PKC412)	Systemic mastocytosis	202.6, 757.33	C96.2
D0KL9X	Krypton, Kr-81m	Bronchodilator	493	J45
D0KM1B	Follicle stimulating hormone	Infertility	628	N97.0
D0KM1F	PT-00114	Anxiety disorder	300, 311	F32, F40-F42
D0KM3P	NOStentin	Restenosis		I51.89
D0KM4T	UAI-101	Diabetes	253.5, 588.1	E23.2, N25.1
D0KN0I	Valetizumab	Multile sclerosis		G35
D0KN1U	Myo-inositol hexaphosphate	Cardiovascular disorder		I00-I99
D0KN2C	Insulin long-acting iv	Type 2 diabetes	250	E11
D0KN2M	Cynarin	Cholera		A00
D0KN5B	CYT107	Human immunodeficiency virus infection	279.3	B20-B26
D0KN7H	Mitoflaxone	Cancer	140-229	C00-C96
D0KP0L	SE-ET-TP020d	Thrombocytopenia	287.3, 287.4, 287.5	D69.6, P61.0
D0KP2R	ID-12	HCV infection	070.4, 070.5, 070.70	B17.1, B18.2
D0KP5N	RJW-57926	Eating disorder; Obesity	278, 307.5	E66, F50
D0KP9A	Anti-PD-L1	HIV-1 infection; Solid tumours	001-139, 042, 140-199, 210-229	B20-B24, C00-D48
D0KQ0C	Danegaptide	Atrial fibrillation	272, 427.31	E78, I48
D0KQ2D	RVX-297	Multiple scierosis	340	G35
D0KR1N	PPI-2458	Autoimmune diabetes		E08-E13
D0KR2J	Entecavir	HBV infection	070.2-070.3	B16, B18.0, B18.1
D0KR2J-D0ML1F	Adefovir + Entecavir	Chronic HBV infection	070.2-070.3	B16, B18.0, B18.1
D0KR2J-D0Y8OK	peginterferon alfa-2a + entecavir	Chronic HBV infection	070.2-070.3	B16, B18.0, B18.1
D0KR3X	CGS-30440	Hypertension	401	I10-I16
D0KR5B	Hydrocortisone	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
D0KR5B-D0PG0G-D0R7JT	Drotrecogin alfa + Fludrocortisone + Hydrocortisone	Septic shock	785.52	A41.9
D0KR5B-D0R6CD-D0R7JT	Fludrocortisone + Hydrocortisone + Insulin	Septic shock	785.52	A41.9
D0KR5B-D0RD0N	Hydrocortisone + Neomycin	Inflammation and infection of eye; Rhinitis; Sinusitis; Otitis externa		J00, J30, J31.0, J01, J32, H60
D0KR5B-D0V4UF	Hydrocortisone + Pramoxine	Minor skin irritations; Anal itching; Hemorrhoids; Pain from episiotomy		I84
D0KR5B-D0X6IU	Chloramphenicol + Hydrocortisone	Cholera		A00
D0KR5K	Capravirine	Human immunodeficiency virus infection	279.3	B20-B26
D0KR6E	SER-207	Cancer	140-229	C00-C96
D0KR9U	Picrotoxin	Respiratory distress syndrome	518.5, 518.82	J80
D0KS0I	WAY-256805	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D0KS6F	IRX-2	Acute myeloid leukemia; Head and neck cancer	205, 140-149, 140-229	C92.0, C07-C14, C32-C33
D0KS6W	Phenyltoloxamine	Allergy	995.3	T78.4
D0KT3X	Thrombin/fibrinogen matrix patch	Bleeding	444, 453	I74, I80-I82
D0KT4B	CLP-1002	Congestive heart failure	428	I50
D0KT8U	Semotiadil	Hypertension	401	I10-I16
D0KU4M	MB07803	Type 2 diabetes	250	E11
D0KV1I	GC-1113	Anemia	280-285	D50-D64
D0KV1Q	Trafermin	Periodontitis	523.5	K05.4
D0KV1Z	ImmunoVEX HSV2	Herpes simplex virus infection	54	B00
D0KV2E	Sonepcizumab	Macular degeneration	362.5	H35.3
D0KV4Z	CI-949	Asthma		J45
D0KV6C	RG3039	Spinal muscular atrophy	335.0-335.1	G00-G99
D0KW2A	BN50739	Cerebral infarction		I63
D0KW3Z	GORALATIDE	Hematopoietic		D50-D89
D0KW8U	PTS-508a	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
D0KX1E	CEP-2563	Solid tumours	140-199, 210-229	C00-D48
D0KX3A	PF-4194471	Human immunodeficiency virus infection	279.3	B20-B26
D0KX5H	MSP-2017	Cardiovascular disorder		I00-I99
D0KX6D	ZK-112993	Unspecified		
D0KX6E	DI-Leu16-IL2	B-cell lymphoma	202.8	C85.1
D0KX7A	CR-4174	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
D0KX8B	GNE Lipoplex	Myopathy		M60-M63
D0KX9B	EP-101	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
D0KX9I	MK-0524B	Atherosclerosis	414.0, 440	I70
D0KX9Z	S-12363	Cancer	140-229	C00-C96
D0KY4O	ASF-1075	Psoriatic disorder	696	L40
D0KY7S	ISIS-FXI	Clotting disorders	286	D65-D69
D0KZ3Z	Sodium Hyaluronate	Enthesopathy	726	M76-M77.9
D0L0AU	DMPDDF	Cancer	140-229	C00-C96
D0L0BX	ICARITIN	Breast cancer	174, 175	C50
D0L0CL	CP-471358	Cancer	140-229	C00-C96
D0L0DO	ETR-002	Diabetes	253.5, 588.1	E23.2, N25.1
D0L0DZ	XL-041	Arteriosclerosis	440	I70
D0L0ER	ALT-020-04	Ocular infection		H00-H59
D0L0GM	Vilanterol	Asthma; Chronic obstructive pulmonary disease	490-492, 494-496	J45, J40-J44, J47
D0L0GM-D0LC6K	Fluticasone furoate + Vilanterol	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
D0L0HV	VX-916	HCV infection	070.4, 070.5, 070.70	B17.1, B18.2
D0L0JM	Igiv-hb	HBV infection	070.2-070.3	B16, B18.0, B18.1
D0L0KI	NB-401	Bacterial respiratory tract infection		J13, J15
D0L0LR	UCL-67022	Multiple myeloma	203	C90
D0L0MB	Acetophenazine	False perceptions; Bipolar disorder	297, 780.1, 296.0, 296.1, 296.4, 296.5, 296.6, 296.7, 296.8, 300	F22, R44, F31, F40-F42
D0L0MK	Pachycarpine	Oxytocic		O00-O99
D0L0MO	Satigrel	Thromboembolism	437.6, 453, 671.5, 671.9	I80-I82
D0L0NE	DPC-A78277	Human immunodeficiency virus infection	279.3	B20-B26
D0L0OU	CLT-005	Angiogenesis disorder		I00-I99
D0L0RO	AE37 peptide vaccine	Breast cancer	174, 175	C50
D0L0RX	ABX-101	Cancer	140-229	C00-C96
D0L0SI	Galectin 2	Inflammatory bowel disease	555, 556	K50, K51
D0L0SW	Bentiromide	Pancreatic cancer	140-199, 140-229, 157, 210-229	C25
D0L0UF	MEN-11467	Respiratory tract inflammation		J00-J99
D0L0VV	GUT-70	Cancer	140-229	C00-C96
D0L0XV	NP-05	Osteoporosis	733.0, V07.4	M80-M81, Z79.890
D0L0ZC	GSK1059615	Metastatic breast cancer; Endometrial cancer; Lymphoma	140-199, 140-229, 174, 175, 182.0, 202.8, 210-229	C50, C81-C86
D0L0ZF	VESNARINONE	Cardiac failure		I50
D0L1BS	PF-454583	Major depressive disorder	296.2, 296.3, 710.0	F32, F33, M32
D0L1CR	Opium (class)	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D0L1DP	ABT-089	Attention deficit hyperactivity disorder; Schizophrenia; Anxiety; Dementia	290-294, 295, 300, 314.0	F01-F07, F20, F40-F42, F90
D0L1DR	Recombinant human iduronate-2-sulfatase	Hunter syndrome		E76.1
D0L1DU	HIF-1 alpha gene therapy	Occlusive arterial disease		I73.9
D0L1EX	M2del11HAavir H5N1	Influenza virus		J11.1
D0L1FN	Emfilermin	Infertility	628	N97.0
D0L1GI	ReS8-T compounds	Alzheimer disease	331	G30
D0L1GY	IP-751	Neuropathic pain	356.0, 356.8	G64, G90.0
D0L1HK	TCN-032	Influenza virus		J11.1
D0L1IH	A-79175	Asthma		J45
D0L1IZ	S-20951	Atrial fibrillation	272, 427.31	E78, I48
D0L1JE	CJC-1131	Type 1 diabetes	250	E10
D0L1JW	Hydrastine	Haemostatic astringent		R58
D0L1KX	CR-665	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D0L1LJ	Bervastatin	Thrombosis	437.6, 453, 671.5, 671.9	I80-I82
D0L1LV	TGFK07AD	Major depressive disorder	296.2, 296.3, 710.0	F32, F33, M32
D0L1NF	D-420720	Diabetes	253.5, 588.1	E23.2, N25.1
D0L1NU	PHA-666859	Diabetic retinopathy	250.5	H36, E10.3, E11.3, E13.3
D0L1OC	Anti-LT alpha	Rheumatoid arthritis	710-719, 714	M05-M06
D0L1OF	HE-33	Graft-versus-host disease	279.5	T86.0
D0L1OT	TroVax	Hormone refractory prostate cancer	140-229, 185	C61
D0L1OT-D0O5WP	trovax + docetaxel	Hormone refractory prostate cancer	140-229, 185	C61
D0L1OY	ALCURONIUM	Anesthesia	338	R20.0
D0L1PH	CB-5300	HCV infection	070.4, 070.5, 070.70	B17.1, B18.2
D0L1PW	R112	Allergic rhinitis	472.0, 477, 995.3	J00, J30, J31.0, T78.4
D0L1QF	Corifollitropin alfa	Infertility	628	N97.0
D0L1TB	NPS-4	Dermatitis	692.9	L20-L30
D0L1UH	ASP-0777	Alzheimer disease	331	G30
D0L1VI	AQ-13	Malaria		B54
D0L1VP	NX-CP105	Cerebrovascular ischaemia	434.91	I61-I63
D0L1VR	ALT-946	Diabetic complication		E08-E13
D0L1VT	Cyprodine	Parkinson's disease	332	G20
D0L1WV	Kawain	Cardiovascular disorder		I00-I99
D0L1YM	McN3377	Fragile X syndrome	332, 759.83	F02.3, G20, Q99.2
D0L1YR	Ara-LAMP-vax	Allergy	995.3	T78.4
D0L1YS	NE-033	Psychotic disorders	290-299	F20-F29
D0L1ZK	MDCO-216	Acute coronary syndrome	444	I74
D0L1ZK	MDCO-216	Atherosclerosis	414.0, 440	I70
D0L1ZM	HF-0299	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D0L2BC	MEDI-534	Respiratory syncytial virus infection	79.6	B97.4
D0L2BH	S-34109	Staphylococcus aureus infection		B95.6
D0L2BT	DMARDs	Rheumatoid arthritis	710-719, 714	M05-M06
D0L2CI	Insulin degludec	Type 1/2 diabetes	250, 278	E08-E13
D0L2CN	Fibroblast growth factor-18	Acute cartilage injury of the knee	836	S83
D0L2FR	KU-135	Cancer	140-229	C00-C96
D0L2GX	RG7342	Schizophrenia	295	F20
D0L2IQ	Fasidotril	Hypotension	458, 796.3	I95
D0L2JM	Levomequitazine	Seasonal allergic rhinitis	472.0, 477	J00, J30, J31.0
D0L2KL	DNA/MVA HIV vaccine	Human immunodeficiency virus infection	279.3	B20-B26
D0L2LG	WC-3018	Acne vulgaris	706.1	L70.0
D0L2LS	Fluoxymesterone	Male hypogonadism; Breast cancer	257.2, 174, 175	E23.0, E28.3, E29.1, C50
D0L2MX	Benzthiazide	High blood pressure; Edema	401	I10-I16, R60.9
D0L2NV	U-89854	Anxiety disorder	300, 311	F32, F40-F42
D0L2OS	REG-3	Thrombosis	437.6, 453, 671.5, 671.9	I80-I82
D0L2OT	Lipovaxin-MM	Melanoma	172	C43
D0L2PV	MOR-105	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
D0L2QC	OPT-88	Osteoarthritis	715	M15-M19, M47
D0L2QJ	UC-84	Human immunodeficiency virus infection	279.3	B20-B26
D0L2RV	PF-4325667	Diabetes	253.5, 588.1	E23.2, N25.1
D0L2TT	DasKloster 0028-01	Pulmonary fibrosis	515, 516.3	J84.1
D0L2UN	Auranofin	Inflammatory arthritis	710-719	M00-M25
D0L2UQ	Pracinostat	Myelodysplastic syndrome; Myelofibrosis	238.7, 208.9, 289.83, 709.2	D46, C94.4, D47.4
D0L2VB	FE-203799	Gastrointestinal disease		K00-K93
D0L2VT	PV-10	Melanoma	172	C43
D0L2VV	Typhim Vi	Salmonella infection		A02.9
D0L2WJ	Ryzodeg	Type 1/2 diabetes	250, 278	E08-E13
D0L2WW	RGel-Adnectin	Cancer	140-229	C00-C96
D0L2XO	BAY11-7082	Multiple myeloma	203	C90
D0L2XU	Solulin	Thrombosis	437.6, 453, 671.5, 671.9	I80-I82
D0L2YF	Pc4 (topical formulation	Psoriasis	696	L40
D0L2YR	DT-1687	Neurological disease	338, 338.2, 410, 782.3,780	I21, I22, R52, R52.1-R52.2, R60.9, G89
D0L2ZY	X-82	Advanced solid tumor; Macular degeneration	140-199, 362.5	C00-C75, C7A, C7B, H35.3
D0L3CQ	Dexpirronium	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
